designator,quantity,value,pack,mpn,mount_type
"C1, C6, C7",3,100nf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
C10,1,22nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
C11,1,1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
"C2, C3, C4, C5",4,22pf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
C8,1,10uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
C9,1,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
D1,1,"PESD5V0L2UU,115",SOT65P210X110-3N,,smt
IC1,1,OPA2340UA_2K5,SOIC127P600X175-8N,,smt
IC2,1,MCP1804T-A002I_OT,SOT95P270X145-5N,,smt
IC3,1,ADS1115IDGST,SOP50P490X110-10N,,smt
"IC4, IC6",2,24PCDFA6D,24PCDFA6D,,tht
"IC8, IC9",2,INA849DR,SOIC127P600X175-8N,,smt
J1,1,Power_And_CAN,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",,tht
J3,1,TTL_Programmer,PinHeader_1x06_P2.54mm_Vertical,,tht
J4,1,ICSP,PinHeader_2x03_P2.54mm_Vertical_SMD,,smt
J5,1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,,tht
NTC1,1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
Powerboard1,1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,tht
Q1,1,IRF9Z34NPBF,TO254P469X1042X1967-3P,,tht
"R1, R12, R13, R3, R4, R5, R8",7,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
"R14, R15",2,YR1B665RCC,RESAD1550W60L630D230,,tht
R16,1,120k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R17,1,15k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R18,1,47k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R19,1,1M,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R2,1,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R6,1,17k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
R7,1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
R9,1,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
Reset1,1,TS02-66-160-BK-260-LCR-D,TS0266160BK260LCRD,,tht
U1,1,TL431LP,TO-92_Inline,,tht
U2,1,ATmega328P-P,DIP-28_W7.62mm,,tht
U3,1,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,,smt
U4,1,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,,smt
U5,1,3568,3568,,tht
"Y1, Y2",2,16MHz,Crystal_HC49-U_Vertical,,tht
