designator,quantity,value,pack,mpn,mount_type
"C1, C2, C6, C7",4,22pf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
"C3, C4, C5",3,100nf,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,,smt
D1,1,"PESD5V0L2UU,115",SOT65P210X110-3N,,smt
J1,1,ICSP,PinHeader_2x03_P2.54mm_Vertical_SMD,,smt
J2,1,TTL_Programmer,PinHeader_1x06_P2.54mm_Vertical,,tht
J4,1,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,,tht
J5,1,Power_And_CAN,"TerminalBlock_Phoenix_MPT-0,5-4-2.54_1x04_P2.54mm_Horizontal",,tht
J6,1,Conn_02x08_Odd_Even,PinHeader_2x08_P2.54mm_Vertical,,tht
NTC1,1,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
Powerboard1,1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,,tht
Q1,1,IRF9Z34NPBF,TO254P469X1042X1967-3P,,tht
"R1, R2, R5, R7",4,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R3,1,4.7k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,,smt
R4,1,17k,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
R6,1,120,R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,,tht
Reset1,1,TS02-66-160-BK-260-LCR-D,TS0266160BK260LCRD,,tht
U1,1,ATmega328P-P,DIP-28_W7.62mm,,tht
U2,1,178.6165.0001,17861650001,,tht
U3,1,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,,smt
U4,1,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,,smt
"Y1, Y2",2,16MHz,Crystal_HC49-U_Vertical,,tht
